,Hotel_name,Rating,Description,Link,City_name,Lat,Lon
0,Hôtel d'Argouges,8.8,"L'Hôtel d'Argouges est un établissement du XVIIIe siècle situé au cœur de Bayeux. Il est à l'écart de la route, vous permettant de profiter pleinement du calme de la campagne. Une connexion Wi-Fi gratuite est disponible pour un appareil par chambre. Les chambres de l'Hôtel d'Argouges sont réparties entre 3 bâtiments offrant une vue apaisante sur le jardin ou la cour. Elles comportent une télévision par satellite et une salle de bains privative. Le petit-déjeuner est servi dans le salon avec parquet intact, boiseries, cheminée et miroir d'époque. Par beau temps, vous pourrez l'apprécier dans le jardin de l'hôtel. Ville partiellement épargnée pendant la Seconde Guerre mondiale, Bayeux a conservé son patrimoine et son architecture riche. Vous pourrez découvrir la célèbre tapisserie de la reine Mathilde, la cathédrale Notre-Dame, le musée du Baron Gérard et le mémorial de la bataille de Normandie.  C'est le quartier préféré des voyageurs visitant Bayeux, selon les commentaires clients indépendants. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux.  ", https://www.booking.com/hotel/fr/d-argouges.fr.html?label=gen173nr-1FCAMoTUIGYmF5ZXV4SA1YBGhNiAEBmAENuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKJ6qqWBsACAdICJGVlMTU4NDUxLThhMDAtNDU5Yi1iYTNiLTVjZTkyZGEyMGE2NNgCBeACAQ&sid=7af712743eb0eaf1a80fc1911270719b,Bayeux,49.2789941,-0.708417
1,Best Western ARThotel,7.8,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Best Western ARThotel !   pour économiser. Cet établissement est à 11 minutes à pied de la plage. Le Best Western Art Hotel est situé au cœur du quartier du Perret au Havre, à seulement 10 minutes à pied de la plage. En voiture, vous pourrez rejoindre les principales destinations de Normandie comme Honfleur en 20 minutes, Étretat en 30 minutes et Deauville en 40 minutes. Décorées dans un style contemporain par divers artistes, toutes les chambres disposent d'une connexion Wi-Fi gratuite, d'une télévision à écran plat, d’une station d'accueil pour iPod et d'une salle de bains privative. Chaque matin, vous pourrez déguster un petit-déjeuner buffet en chambre ou dans la salle à manger. Vous apprécierez de vous détendre au bar de l'Art Hotel. Seul le petit-déjeuner buffet est servi tous les jours dans la salle à manger.  Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux.  Chaîne hôtelière/marque:Best Western", https://www.booking.com/hotel/fr/art.fr.html?label=gen173nr-1FCAMoTUIIbGUtaGF2cmVIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4Ao_qqpYGwAIB0gIkZWI4NDk3YjQtM2I5ZC00ZTQyLTk1MGUtNmQ5NjA1ZGQyODIx2AIF4AIB&sid=b609d788519872055801d13f2e720325,Le Havre,49.49119366,0.1064609
2,Relais Hôtel du Vieux Paris,9.1,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Relais Hôtel du Vieux Paris !   pour économiser. Le Relais Hôtel du Vieux Paris est un établissement de caractère, situé dans le centre de Paris, près de la Seine, de la place Saint-Michel et de la cathédrale Notre-Dame. Il possède des chambres décorées de façon individuelle avec des poutres apparentes. Toutes les chambres climatisées du Relais Hôtel du Vieux Paris sont équipées d'une connexion Wi-Fi gratuite, d'une télévision et d'une salle de bains privative. Certaines d'entre elles disposent d'une mezzanine ou d'une baignoire spa et quelques-unes offrent une vue sur les toits de Paris. Toutes sont en outre desservies par un ascenseur. Un petit-déjeuner continental est servi chaque matin dans la salle à manger de style classique. Vous pourrez également le déguster dans le confort de votre chambre. Le Relais Hôtel du Vieux Paris propose toute une gamme de services, notamment une réception ouverte 24h/24 avec un concierge qui vous aidera à obtenir des tickets pour les musées et organiser votre transfert vers l'aéroport ou la gare. Vous trouverez à 50 mètres la station de métro Saint-Michel, permettant un accès direct aux Invalides, aux gares du Nord et de l'Est, ainsi qu'aux aéroports d'Orly et de Roissy en RER. Enfin, vous rejoindrez à 800 mètres le jardin du Luxembourg et le musée du Louvre.  C'est le quartier préféré des voyageurs visitant Paris, selon les commentaires clients indépendants. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux.  ", https://www.booking.com/hotel/fr/relaishotelvieuxparis.fr.html?label=gen173nr-1FCAMoTTjjAkgNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBAogCAagCA7gCkuqqlgbAAgHSAiRmYjcyNzhiZC1kZDg2LTRlOTAtOTcwZi1iMjFkNjkyZGJkOWLYAgXgAgE&sid=1b0b1ea9085c05c4244ffa6130b1802b,Paris,48.85394156,2.34287538
3,Hôtel Paulette Rouen centre NOUVEAU,7.5,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Paulette Rouen centre NOUVEAU !   pour économiser. L’Hôtel Paulette Rouen centre NOUVEAU vous accueille dans le centre-ville de Rouen, à seulement 300 mètres de la cathédrale Notre-Dame, à 200 mètres de la rue du Gros-Horloge et à 4 km de la salle omnisports Le Kindarena. Cet établissement propose des hébergements dotés d’une connexion Wi-Fi gratuite et d’une télévision à écran plat. Toutes les chambres disposent de fenêtres à double vitrage, d’une salle de bains privative et de la climatisation. Un plateau/bouilloire est fourni sur demande. Un parking public est accessible à proximité. Le petit-déjeuner buffet est servi tous les matins de 7h00 à 10h00 en semaine et de 8h00 à 10h00 le week-end. Vous pourrez vous détendre dans le coin salon de l’hôtel, et une bagagerie est disponible à la réception. L’Hôtel Paulette Rouen centre NOUVEAU est ouvert tous les jours de l’année, et la réception est ouverte jusqu’à 21h00. La gare de Rouen est située à 1,5 km.  C'est le quartier préféré des voyageurs visitant Rouen, selon les commentaires clients indépendants. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux.  ", https://www.booking.com/hotel/fr/hotel-de-paris-rouen.fr.html?label=gen173nr-1FCAMoTUIFcm91ZW5IDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApHqqpYGwAIB0gIkNDQ4MWY5YTQtOTdmZi00NjhhLWFiODYtZjAwMDc0YmZkMmQ02AIF4AIB&sid=4082b066e2dcda481e8a215b4133bd76,Rouen,49.43872283,1.09135196
4,The Originals Boutique Hôtel Amiens Sud,7.7,"Situé à Amiens, à 1,9 km du Zénith, l'établissement The Originals Boutique Hôtel Amiens Sud propose un bar, un parking privé gratuit et un jardin. Cet hôtel 3 étoiles propose une réception ouverte 24h/24 et une bagagerie. Offrant une vue sur le jardin, les chambres climatisées disposent d'une armoire et d'une connexion Wi-Fi gratuite. Les chambres comprennent un bureau, une télévision à écran plat, une salle de bains privative, du linge de lit et des serviettes. L'établissement sert un petit-déjeuner continental ou buffet. Vous séjournerez à 3 km du musée de Berny et à 3,7 km du parc des jardins flottants. L'aéroport le plus proche, celui de Beauvais-Tillé, est situé à 48 km.   Chaîne hôtelière/marque:The Originals Boutique", https://www.booking.com/hotel/fr/the-originals-boutique-amiens-sud-chu-amiens.fr.html?label=gen173nr-1FCAMoTUIGYW1pZW5zSA1YBGhNiAEBmAENuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKV6qqWBsACAdICJDRhMDgzNDAyLTM4NjctNDA1Mi1iYTU1LWFmODIxMjRhOWI5MtgCBeACAQ&sid=8325a47d3b372a78714deaab13dbdc28,Amiens,49.87961282,2.26665102
5,ibis Lille Centre Gares,7.8,"Situé à 100 mètres de la gare de Lille Flandres et à moins de 10 minutes à pied de la gare de Lille Europe, l'ibis Lille Centre Gares vous propose une réception ouverte 24h/24, un ascenseur, une terrasse et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. Le centre de congrès Lille Grand Palais se trouve à 650 mètres. Les chambres de l'ibis Lille Centre Gares sont dotées d'une télévision à écran plat, d'un téléphone et d'un bureau. Leur salle de bains privative est pourvue d'une douche et de toilettes. L'hôtel sert chaque jour un petit-déjeuner buffet composé de plats sucrés et salés, comme des œufs, de la salade de fruits, des yaourts et des jus de fruit. Des viennoiseries cuites sur place et des madeleines fraîches sont aussi proposées, ainsi qu'une boisson chaude et un fruit à emporter. En dehors des horaires réguliers, vous aurez la possibilité de déguster un petit-déjeuner plus léger à partir de 4h00. Le restaurant ibis Kitchen propose une cuisine française traditionnelle. Des coffres-forts sont disponibles sur demande et vous pourrez également profiter de 3 salles de réunion. L'ibis Lille Centre Gares se trouve à 8 km de l'aéroport de Lille-Lesquin et à 1 km du Vieux-Lille. Un parking privé est accessible moyennant des frais supplémentaires et sous réserve de disponibilité.  C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux.  Chaîne hôtelière/marque:ibis", https://www.booking.com/hotel/fr/ibis-lille-centre-gares.fr.html?label=gen173nr-1FCAMoTTjmAkgNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBAogCAagCA7gCleqqlgbAAgHSAiRiM2M2YTRjMC1hNmNhLTQ5NDQtYTJiZi0wYTlkNjI1NTg2MjTYAgXgAgE&sid=0f5e683530eebcf34cc8ac2d922cd630,Lille,50.63470383,3.07080008
6,Hotel Chagnot,7.8,"L'Hotel Chagnot est situé dans le centre-ville de Lille, juste en face de la gare de Lille-Flandres et à 10 minutes à pied de la gare de Lille-Europe. L’établissement propose des hébergements modernes et une connexion Wi-Fi gratuite. Les centres de conventions Nouveau Siècle et Lille Grand Palais se trouvent à 1 km. Tous les hébergements insonorisés comprennent une télévision par satellite à écran plat et 1 salle de bains privative pourvue d’une douche. L'Hotel Chagnot sert un petit-déjeuner express à emporter. L’aéroport de Lille-Lesquin est implanté à 8,8 km de l’hôtel. Le musée du Palais des Beaux-Arts se trouve à 15 minutes à pied de l'hôtel. Vous rejoindrez les grands magasins Printemps et Galeries Lafayette en 10 minutes de marche, tandis que l’opéra de Lille vous attend à 450 mètres. Le stade Pierre Mauroy est accessible en 16 minutes de route.  C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux.  ", https://www.booking.com/hotel/fr/hotel-balladins-superior-lille-centre.fr.html?label=gen173nr-1FCAMoTTjmAkgNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBAogCAagCA7gCleqqlgbAAgHSAiRiM2M2YTRjMC1hNmNhLTQ5NDQtYTJiZi0wYTlkNjI1NTg2MjTYAgXgAgE&sid=0f5e683530eebcf34cc8ac2d922cd630,Lille,50.63624596,3.06924239
7,Best Western Plus Monopole Métropole,8.6,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Best Western Plus Monopole Métropole !   pour économiser. Le Best Western Monopole Métropole est situé à seulement 400 mètres de la gare de Strasbourg, près du quartier de la Petite France. Il propose des hébergements contemporains dotés d'un minibar et d'une connexion Wi-Fi gratuite. Décorées dans des tons neutres, les chambres du Monopole Métropole affichent un style contemporain et disposent toutes de la climatisation et d'une bouilloire électrique. Certaines sont même pourvues d'un coin salon. Un petit-déjeuner buffet composé d'œufs brouillés et de bacon vous sera servi chaque matin dans l'élégante salle de style alsacien prévue à cet effet. Bénéficiant de fauteuils propices à la détente, l'hôtel possède un bar moderne exposant des peintures d'artistes locaux. L'établissement se situe à seulement 10 minutes de marche de la place Kléber et de la cathédrale de Strasbourg. Vous pourrez par ailleurs accéder au Best Western Monopole Métropole par l'A35 qui se trouve à 4 minutes de route. Un parking souterrain privé est disponible sur place.  C'est le quartier préféré des voyageurs visitant Strasbourg, selon les commentaires clients indépendants. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux.  Chaîne hôtelière/marque:Best Western Plus, Best Western", https://www.booking.com/hotel/fr/monopolemetropole.fr.html?label=gen173nr-1FCAMoTTjiAkgNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBAogCAagCA7gCluqqlgbAAgHSAiQwOWVjMzk5ZC00NWNkLTRiMDEtYmU1OC05ODkwYTFmOTFjYjDYAgXgAgE&sid=ed3cd46dcafa395388041084ea3902f7,Strasbourg,48.58501891,7.73882546
8,Le Hameau d'Eguisheim - Chambres d'hôtes & Gîtes,9.0,"Occupant une maison à colombages typiquement alsacienne, Le Hameau d'Eguisheim propose des chambres d'hôtes et des hébergements indépendants sur un domaine avec un vignoble. L'établissement se trouve au cœur du village médiéval d'Eguisheim. Décorées dans un style unique, toutes les chambres disposent d'une salle de bains privative, d'une connexion Wi-Fi gratuite, d'une télévision à écran plat et d'un plateau/bouilloire. L'appartement indépendant peut accueillir jusqu'à 6 personnes et dispose de sa propre cuisine. Un petit-déjeuner est servi chaque matin dans l'ancienne cave à vin de l'établissement. Vous pourrez également vous détendre dans la pièce à vivre commune adjacente ou sur la terrasse donnant sur la cour intérieure. Dans la région, vous pourrez pratiquer des activités telles que la randonnée, le VTT et les marchés de Noël. Le marché de Noël d'Eguisheim se trouve à 57 mètres.  Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux.  ", https://www.booking.com/hotel/fr/le-hameau-d-eguisheim.fr.html?label=gen173nr-1FCAMoTUIJZWd1aXNoZWltSA1YBGhNiAEBmAENuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKZ6qqWBsACAdICJDQ4NjZjYzBiLTgzODEtNGJiMi1iNmFjLTM2ODI5YjM2MmY3NtgCBeACAQ&sid=03611c153864036944ac1e4e9d05dc04,Eguisheim,48.04252897,7.30712727
9,Hôtel du Ladhof,5.7,"Cet établissement est à 13 minutes à pied de la plage. L'hôtel du Ladhof est situé au bord de l’Ill, à seulement 2 km de la zone industrielle et à 5 km du centre de Colmar. Le restaurant sur place sert des spécialités de la région. Décorées simplement, les chambres de l'établissement comprennent une télévision. Chacune dispose également d'un bureau et d'une salle de bains privative pourvue d'articles de toilette gratuits. Chaque matin, vous dégusterez un petit-déjeuner continental sur place. Un parking privé gratuit est présent sur place. Vous rejoindrez les vignes d'Eguisheim à 13 km.   ", https://www.booking.com/hotel/fr/ha-tel-du-ladhof.fr.html?label=gen173nr-1FCAMoTTjnAkgNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBAogCAagCA7gCmOqqlgbAAgHSAiQ4OWI1ZDA3Ni1hMTgyLTQ3MmYtODVlOS1iNWZmNzA2NzE4OTbYAgXgAgE&sid=007296d67eeaba4a9243d3da429a2d8b,Colmar,48.10698881,7.38608211
