,city,latitude,longitude,weekly_temp,weekly_temp_feels_like,weekly_wind_speed,weekly_humidity,weekly_main_weather,avg_weekly_temp_feels_like,main_weather,Rank
11,Eguisheim,48.0448,7.308,"[22.21, 24.14, 25.68, 31.35, 33.91, 28.53, 29.91]","[21.77, 23.81, 25.37, 29.91, 32.17, 27.79, 28.6]","[5.18, 4.87, 2.46, 2, 3.04, 2.68, 2.24]","[0, 0, 0, 0, 0.02, 0, 0]","['Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clear', 'Clouds']",27.06,Clouds,1
10,Colmar,48.0778,7.358,"[22.31, 24.32, 25.78, 31.38, 33.67, 28.61, 30.1]","[21.88, 23.98, 25.48, 29.86, 32.02, 27.79, 28.64]","[5.35, 5.04, 2.48, 2.05, 3.09, 2.89, 2.39]","[0, 0, 0, 0, 0.03, 0, 0]","['Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clear', 'Clouds']",27.092857142857138,Clouds,2
8,Strasbourg,48.5846,7.7507,"[21.26, 24.92, 26.64, 32.13, 33.65, 28.4, 30.85]","[20.72, 24.59, 26.64, 30.29, 31.99, 27.39, 28.99]","[5.23, 5.68, 2.87, 2.78, 5.03, 4.36, 2.83]","[0, 0, 0, 0, 0, 0, 0]","['Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",27.23,Clouds,3
12,Besancon,47.238,6.0244,"[24.15, 25.19, 27.22, 31.65, 32.65, 29.82, 31.2]","[23.35, 24.78, 26.6, 29.76, 31.1, 28.46, 29.6]","[5.22, 5.63, 4.39, 2.3, 3.97, 2.61, 2.77]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",27.664285714285715,Clouds,4
6,Amiens,49.8942,2.2957,"[23.47, 26.42, 29.68, 33.16, 28.55, 26.49, 32.73]","[23, 26.42, 28.68, 31.45, 27.56, 26.49, 30.61]","[4.16, 3.81, 3.22, 6.16, 6.68, 2.53, 4.91]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clear']",27.744285714285713,Clouds,5
2,Bayeux,49.2765,-0.7025,"[24.08, 27.3, 32.34, 25.25, 21.49, 25.85, 31.4]","[23.56, 27.03, 30.87, 25.06, 20.9, 25.51, 29.65]","[6.34, 6.15, 5.91, 5.2, 5.81, 5, 4.99]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",26.082857142857144,Clouds,6
7,Lille,50.6366,3.0635,"[23.95, 25.92, 28.37, 28.18, 25.76, 24.23, 30.62]","[23.6, 25.56, 27.65, 27.62, 25.49, 23.6, 28.83]","[4.68, 4.06, 2.89, 4.57, 6.36, 3.26, 3.83]","[0, 0, 0, 0, 0, 0, 0]","['Clouds', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",26.050000000000004,Clouds,7
0,Mont Saint Michel,48.636,-1.5115,"[25.98, 30.05, 32.59, 27.12, 25.63, 26.98, 34.69]","[25.98, 28.87, 31.03, 26.9, 25.16, 26.53, 32.7]","[7.33, 5.55, 6.04, 7.28, 7.95, 5.48, 5.48]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",28.16714285714286,Clouds,8
14,Annecy,45.8992,6.1289,"[26.56, 25.02, 26.67, 30.49, 33.12, 31.41, 30.9]","[26.56, 24.78, 26.67, 29.39, 31.22, 30.07, 29.54]","[3.9, 3.01, 3.12, 1.66, 1.65, 2.14, 2.34]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clouds', 'Clear', 'Clouds', 'Clear', 'Clear']",28.318571428571428,Clear,9
29,Ariege,42.9455,1.4066,"[25.91, 28.08, 29.2, 32.03, 30.1, 31.08, 33.68]","[25.5, 26.88, 27.67, 29.84, 28.23, 29.05, 31.31]","[2.75, 2.86, 2.74, 2.98, 3.09, 2.68, 3.11]","[0, 0, 0, 0, 0, 0, 0.14]","['Clear', 'Clear', 'Clear', 'Clear', 'Clouds', 'Clear', 'Clouds']",28.354285714285716,Clear,10
5,Paris,48.8589,2.32,"[23.49, 27.54, 30.69, 36.38, 30.55, 27.91, 34.07]","[23.1, 27, 29.26, 34.09, 28.87, 26.8, 31.79]","[4.55, 3.47, 2.28, 5.94, 5.47, 3.4, 1.89]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clouds', 'Clear', 'Clouds', 'Clouds', 'Clear']",28.701428571428572,Clear,11
13,Dijon,47.3216,5.0415,"[23.8, 26.54, 28.9, 32.91, 34.9, 30.83, 33.57]","[23.31, 26.54, 27.68, 30.85, 32.93, 29.02, 31.2]","[7.26, 5.63, 4.5, 2.58, 6.02, 4.97, 3.71]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",28.79,Clouds,12
17,Gorges du Verdon,43.7497,6.3286,"[26.62, 27.75, 29, 29.59, 32.29, 32.86, 31.02]","[26.62, 27.27, 27.72, 28.52, 30.62, 30.87, 30.8]","[4.99, 5.44, 6.42, 5.49, 6.43, 6.99, 5.05]","[0, 0.05, 0, 0.01, 0, 0.01, 0.07]","['Clear', 'Clear', 'Clouds', 'Clear', 'Clouds', 'Clear', 'Clear']",28.91714285714286,Clear,13
32,Biarritz,43.4833,-1.5593,"[25.8, 26.17, 26.35, 27.32, 26.42, 32.92, 36.95]","[26.16, 26.17, 26.35, 28.02, 26.42, 32.69, 36.85]","[4.07, 4.03, 3.76, 3.34, 3.29, 4.15, 4.43]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clouds', 'Clouds', 'Clear', 'Clouds']",28.951428571428572,Clear,14
19,Cassis,43.214,5.5396,"[29.87, 26.45, 26.86, 27.56, 28.75, 29.89, 28.7]","[30.15, 26.45, 27.91, 28.64, 29.23, 30.59, 30.82]","[3.42, 6.25, 4.34, 4.42, 3.37, 4.55, 4.04]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clouds', 'Clouds', 'Clear', 'Clouds']",29.11285714285714,Clear,15
16,Lyon,45.7578,4.832,"[26.17, 25.86, 27.82, 31.65, 35.69, 31.89, 32.59]","[26.17, 25.55, 27.45, 29.89, 33.83, 30.21, 30.76]","[6.44, 4.14, 4.17, 2.36, 3.89, 5.02, 3.8]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clear']",29.12285714285714,Clouds,16
26,Saintes Maries de la mer,43.4523,4.4287,"[32.69, 26.46, 28.82, 25.71, 26.09, 31.73, 32]","[32.91, 26.46, 29.1, 26.03, 26.09, 31.57, 31.77]","[9.99, 7.42, 6.44, 5.5, 5.41, 5.07, 7.37]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",29.132857142857144,Clouds,17
